employeeID,empFName,empLName,empEmail,empPhoneNumber,hoursWorked,hourlyRate,,,,,,,,
100001,Joseph,Lewis,JosephMLewis@einrot.com,803-658-5450,8255,11.33,,"(100001, ","'Joseph', ","'Lewis', ","'JosephMLewis@einrot.com', ","'803-658-5450', ","8255, ","11.33),"
100002,Santiago,Baker,SantiagoEBaker@gustr.com,281-264-3223,8108,23.94,,"(100002, ","'Santiago', ","'Baker', ","'SantiagoEBaker@gustr.com', ","'281-264-3223', ","8108, ","23.94),"
100003,Carolyn,Barnes,CarolynRBarnes@cuvox.de,713-474-5481,9543,11.08,,"(100003, ","'Carolyn', ","'Barnes', ","'CarolynRBarnes@cuvox.de', ","'713-474-5481', ","9543, ","11.08),"
100004,Arthur,Stone,ArthurFStone@fleckens.hu,215-256-6105,1858,15.6,,"(100004, ","'Arthur', ","'Stone', ","'ArthurFStone@fleckens.hu', ","'215-256-6105', ","1858, ","15.6),"
100005,David,Stroup,DavidHStroup@dayrep.com,718-689-3513,5102,21.62,,"(100005, ","'David', ","'Stroup', ","'DavidHStroup@dayrep.com', ","'718-689-3513', ","5102, ","21.62),"
100006,Mikel,Myres,MikelAMyres@fleckens.hu,205-317-4481,14858,14.06,,"(100006, ","'Mikel', ","'Myres', ","'MikelAMyres@fleckens.hu', ","'205-317-4481', ","14858, ","14.06),"
100007,Alpha,Mills,AlphaAMills@jourrapide.com,262-685-5804,5388,10.43,,"(100007, ","'Alpha', ","'Mills', ","'AlphaAMills@jourrapide.com', ","'262-685-5804', ","5388, ","10.43),"
100008,Thomas,Touchstone,ThomasSTouchstone@jourrapide.com,503-569-1143,5283,25.12,,"(100008, ","'Thomas', ","'Touchstone', ","'ThomasSTouchstone@jourrapide.com', ","'503-569-1143', ","5283, ","25.12),"
100009,Kristin,Florez,KristinAFlorez@einrot.com,925-259-6594,4487,21.93,,"(100009, ","'Kristin', ","'Florez', ","'KristinAFlorez@einrot.com', ","'925-259-6594', ","4487, ","21.93),"
100010,Gerald,Alexander,GeraldAAlexander@teleworm.us,907-301-9404,4786,15.14,,"(100010, ","'Gerald', ","'Alexander', ","'GeraldAAlexander@teleworm.us', ","'907-301-9404', ","4786, ","15.14),"
100011,Ruby,Silas,RubySSilas@rhyta.com,704-441-6603,8013,20.35,,"(100011, ","'Ruby', ","'Silas', ","'RubySSilas@rhyta.com', ","'704-441-6603', ","8013, ","20.35),"
100012,Ruby,Price,RubyNPrice@einrot.com,734-578-6623,6350,14.95,,"(100012, ","'Ruby', ","'Price', ","'RubyNPrice@einrot.com', ","'734-578-6623', ","6350, ","14.95),"
100013,Joe,Chiodo,JoeLChiodo@cuvox.de,423-299-9193,16114,19.31,,"(100013, ","'Joe', ","'Chiodo', ","'JoeLChiodo@cuvox.de', ","'423-299-9193', ","16114, ","19.31),"
100014,Pamela,Lehto,PamelaTLehto@cuvox.de,978-677-6434,16670,11.26,,"(100014, ","'Pamela', ","'Lehto', ","'PamelaTLehto@cuvox.de', ","'978-677-6434', ","16670, ","11.26),"
100015,Robert,Love,RobertCLove@einrot.com,973-960-0082,10039,17.88,,"(100015, ","'Robert', ","'Love', ","'RobertCLove@einrot.com', ","'973-960-0082', ","10039, ","17.88),"
100016,Jeff,Stutts,RussellMStutts@jourrapide.com,912-916-5376,9493,22.35,,"(100016, ","'Jeff', ","'Stutts', ","'RussellMStutts@jourrapide.com', ","'912-916-5376', ","9493, ","22.35),"
100017,Joann,Delatorre,JoannHDelatorre@cuvox.de,313-365-3624,8583,11.88,,"(100017, ","'Joann', ","'Delatorre', ","'JoannHDelatorre@cuvox.de', ","'313-365-3624', ","8583, ","11.88),"
100018,Gwendolyn,Bray,GwendolynCBray@einrot.com,402-349-4179,9512,18.23,,"(100018, ","'Gwendolyn', ","'Bray', ","'GwendolynCBray@einrot.com', ","'402-349-4179', ","9512, ","18.23),"
100019,Brad,Cook,BradRCook@armyspy.com,503-998-6678,3068,24.47,,"(100019, ","'Brad', ","'Cook', ","'BradRCook@armyspy.com', ","'503-998-6678', ","3068, ","24.47),"
100020,Katherine,Booker,KatherineJBooker@fleckens.hu,270-288-7288,5532,11.38,,"(100020, ","'Katherine', ","'Booker', ","'KatherineJBooker@fleckens.hu', ","'270-288-7288', ","5532, ","11.38),"
100021,Paula,Gallegos,PaulaHGallegos@jourrapide.com,585-293-7490,13900,18.86,,"(100021, ","'Paula', ","'Gallegos', ","'PaulaHGallegos@jourrapide.com', ","'585-293-7490', ","13900, ","18.86),"
