supplierID,supplierFName,supplierLName,supplierPhoneNumber,supplierEmail,,,,,,,,,,
300001,Perry,Patton,919-373-2500,PerryMPatton@cuvox.de,,,,"(300001, ","'Perry', ","'Patton', ","'919-373-2500', ","'PerryMPatton@cuvox.de'), ",,"(300001, 'Perry', 'Patton', '919-373-2500', 'PerryMPatton@cuvox.de'), "
300002,Terry,Wright,617-501-7572,TerryPWright@jourrapide.com,,,,"(300002, ","'Terry', ","'Wright', ","'617-501-7572', ","'TerryPWright@jourrapide.com'), ",,"(300002, 'Terry', 'Wright', '617-501-7572', 'TerryPWright@jourrapide.com'), "
300003,Ruby,Krug,509-973-9281,RubyGKrug@fleckens.hu,,,,"(300003, ","'Ruby', ","'Krug', ","'509-973-9281', ","'RubyGKrug@fleckens.hu'), ",,"(300003, 'Ruby', 'Krug', '509-973-9281', 'RubyGKrug@fleckens.hu'), "
300004,Ruby,Linder,617-454-8169,RubyELinder@fleckens.hu,,,,"(300004, ","'Ruby', ","'Linder', ","'617-454-8169', ","'RubyELinder@fleckens.hu'), ",,"(300004, 'Ruby', 'Linder', '617-454-8169', 'RubyELinder@fleckens.hu'), "
300005,Joann,Mercado,856-314-8053,JoannJMercado@jourrapide.com,,,,"(300005, ","'Joann', ","'Mercado', ","'856-314-8053', ","'JoannJMercado@jourrapide.com'), ",,"(300005, 'Joann', 'Mercado', '856-314-8053', 'JoannJMercado@jourrapide.com'), "
300006,Joshua,Mutchler,417-744-4516,JoshuaRMutchler@gustr.com,,,,"(300006, ","'Joshua', ","'Mutchler', ","'417-744-4516', ","'JoshuaRMutchler@gustr.com'), ",,"(300006, 'Joshua', 'Mutchler', '417-744-4516', 'JoshuaRMutchler@gustr.com'), "
300007,Michael,Joyce,845-807-8789,MichaelSJoyce@superrito.com,,,,"(300007, ","'Michael', ","'Joyce', ","'845-807-8789', ","'MichaelSJoyce@superrito.com'), ",,"(300007, 'Michael', 'Joyce', '845-807-8789', 'MichaelSJoyce@superrito.com'), "
300008,Pearl,Keith,828-926-5944,PearlJKeith@jourrapide.com,,,,"(300008, ","'Pearl', ","'Keith', ","'828-926-5944', ","'PearlJKeith@jourrapide.com'), ",,"(300008, 'Pearl', 'Keith', '828-926-5944', 'PearlJKeith@jourrapide.com'), "
300009,David,Morrison,856-912-7215,DavidGMorrison@dayrep.com,,,,"(300009, ","'David', ","'Morrison', ","'856-912-7215', ","'DavidGMorrison@dayrep.com'), ",,"(300009, 'David', 'Morrison', '856-912-7215', 'DavidGMorrison@dayrep.com'), "
300010,Terry,Davis,914-500-1565,TerryRDavis@teleworm.us,,,,"(300010, ","'Terry', ","'Davis', ","'914-500-1565', ","'TerryRDavis@teleworm.us'), ",,"(300010, 'Terry', 'Davis', '914-500-1565', 'TerryRDavis@teleworm.us'), "
300011,Neal,Unger,301-673-4281,NealDUnger@einrot.com,,,,"(300011, ","'Neal', ","'Unger', ","'301-673-4281', ","'NealDUnger@einrot.com'), ",,"(300011, 'Neal', 'Unger', '301-673-4281', 'NealDUnger@einrot.com'), "
300012,Alice,Pendergraft,573-808-0587,AliceFPendergraft@jourrapide.com,,,,"(300012, ","'Alice', ","'Pendergraft', ","'573-808-0587', ","'AliceFPendergraft@jourrapide.com'), ",,"(300012, 'Alice', 'Pendergraft', '573-808-0587', 'AliceFPendergraft@jourrapide.com'), "
300013,Vincent,Roman,814-762-2655,VincentTRoman@superrito.com,,,,"(300013, ","'Vincent', ","'Roman', ","'814-762-2655', ","'VincentTRoman@superrito.com'), ",,"(300013, 'Vincent', 'Roman', '814-762-2655', 'VincentTRoman@superrito.com'), "
300014,William,Mosca,505-565-9252,WilliamAMosca@jourrapide.com,,,,"(300014, ","'William', ","'Mosca', ","'505-565-9252', ","'WilliamAMosca@jourrapide.com'), ",,"(300014, 'William', 'Mosca', '505-565-9252', 'WilliamAMosca@jourrapide.com'), "
300015,Randall,Varner,941-479-9198,RandallMVarner@armyspy.com,,,,"(300015, ","'Randall', ","'Varner', ","'941-479-9198', ","'RandallMVarner@armyspy.com'), ",,"(300015, 'Randall', 'Varner', '941-479-9198', 'RandallMVarner@armyspy.com'), "
300016,Dawn,Martin,407-292-8054,DawnRMartin@fleckens.hu,,,,"(300016, ","'Dawn', ","'Martin', ","'407-292-8054', ","'DawnRMartin@fleckens.hu'), ",,"(300016, 'Dawn', 'Martin', '407-292-8054', 'DawnRMartin@fleckens.hu'), "
300017,Laura,Boyers,402-325-1237,LauraHBoyers@cuvox.de,,,,"(300017, ","'Laura', ","'Boyers', ","'402-325-1237', ","'LauraHBoyers@cuvox.de'), ",,"(300017, 'Laura', 'Boyers', '402-325-1237', 'LauraHBoyers@cuvox.de'), "
300018,Donald,Pinder,231-649-2896,DonaldDPinder@gustr.com,,,,"(300018, ","'Donald', ","'Pinder', ","'231-649-2896', ","'DonaldDPinder@gustr.com'), ",,"(300018, 'Donald', 'Pinder', '231-649-2896', 'DonaldDPinder@gustr.com'), "
300019,Willie,Nielsen,724-380-2142,WillieCNielsen@teleworm.us,,,,"(300019, ","'Willie', ","'Nielsen', ","'724-380-2142', ","'WillieCNielsen@teleworm.us'), ",,"(300019, 'Willie', 'Nielsen', '724-380-2142', 'WillieCNielsen@teleworm.us'), "
300020,Christopher,Carter,734-658-5575,ChristopherSCarter@gustr.com,,,,"(300020, ","'Christopher', ","'Carter', ","'734-658-5575', ","'ChristopherSCarter@gustr.com'), ",,"(300020, 'Christopher', 'Carter', '734-658-5575', 'ChristopherSCarter@gustr.com'), "
300021,Jeffrey,Boichuk,382-134-1391,jeffreyboichuk@gmail.com,,,,"(300021, ","'Jeffrey', ","'Boichuk', ","'382-134-1391', ","'jeffreyboichuk@gmail.com'), ",,"(300021, 'Jeffrey', 'Boichuk', '382-134-1391', 'jeffreyboichuk@gmail.com'), "
